,brand,model,variant,body_type,fuel_type,engine_cc,transmission,mileage_kmpl_or_range,price_min_inr,price_max_inr,segment,seating,launch_year,country,price,score
0,BMW,7 Series,Premium Plus,Coupe,Electric,0.0,Automatic,0.9172714078374455,7979261,11810210,Luxury,4,2018,Germany,0.6527720094904628,0.40785199037049025
1,BMW,X3,LX X,Hatchback,Petrol,0.14787375907541858,CVT,0.021770682148040635,2622461,7574285,Premium,5,2024,Germany,0.3129256593050547,0.20896307574063427
2,Mahindra,XUV700,Pro Plus,SUV,CNG,0.2219588087124018,Manual,0.005805515239477503,11689466,13990859,Luxury,4,2017,India,0.8614702919258617,0.08105611909483207
3,Ferrari,Roma,Edition EV,Hatchback,Diesel,0.29604385834938507,DCT,0.0029027576197387505,7224634,9018723,Luxury,2,2016,Italy,0.5271420242421232,0.1784392307762548
4,Hyundai,Creta,Signature AT,Luxury Sedan,Hybrid,0.11794339902207733,Automatic,0.018867924528301883,10878223,11933119,Luxury,4,2024,South Korea,0.759829371197499,0.09023511058994636
5,Honda,Amaze,Luxury S,Sedan,CNG,0.26655800859386575,CVT,0.011611030478955007,6563874,8160499,Luxury,2,2018,Japan,0.47332820508333034,0.18904341111557482
6,Rolls-Royce,Phantom,LX Hybrid,Luxury Sedan,Electric,0.0,Automatic,0.6792452830188679,4590550,6714578,Premium,4,2016,UK,0.35219287245994063,0.39968763094161863
7,Mahindra,Bolero,LX EV,Hatchback,Hybrid,0.14787375907541858,DCT,0.01451378809869376,4470324,8011990,Luxury,2,2021,India,0.39389763993626875,0.18618016766555934
8,Rolls-Royce,Phantom,Max Plus,Luxury Sedan,Hybrid,0.2219588087124018,CVT,0.013062409288824383,11890638,11997780,Luxury,5,2018,UK,0.7979874907591771,0.09946673230377462
9,Rolls-Royce,Phantom,Max S,Hatchback,Petrol,0.36953622758927246,CVT,0.0,12302724,12990462,Luxury,7,2019,UK,0.8477549215629638,0.11196851512711353
10,BMW,X3,Pro Turbo,SUV,CNG,0.26655800859386575,Automatic,0.02322206095791001,8041797,12590911,Luxury,2,2022,Germany,0.682645795801578,0.14077787410364714
11,Mahindra,Scorpio,Signature EV,SUV,Petrol,0.11794339902207733,CVT,0.017416545718432506,13171905,13467598,Luxury,5,2022,India,0.8954515790448127,0.05582157604466368
12,Porsche,Macan,Pro X,Luxury Sedan,Electric,0.0,Automatic,0.8040638606676342,11605769,14952087,Luxury,7,2016,Germany,0.8925590292267382,0.3082825939269874
13,BMW,X3,Edition Turbo,MPV,Diesel,0.5920877166987701,Manual,0.0,1022183,4743223,Premium,7,2018,Germany,0.15593432207495517,0.3294339628210152
14,Porsche,Cayenne,Edition S,Luxury Sedan,CNG,0.14787375907541858,Automatic,0.011611030478955007,10888096,12567083,Luxury,6,2019,Germany,0.7826389122366013,0.08797888442356765
15,Toyota,Corolla,ZX Turbo,Luxury Sedan,Hybrid,0.14787375907541858,Automatic,0.02031930333817126,938162,3497711,Mid,4,2022,Japan,0.10883227990226117,0.25947843800787834
16,Mahindra,Scorpio,Signature Turbo,Sedan,CNG,0.1773596088309379,CVT,0.024673439767779387,1448923,6052043,Premium,5,2018,India,0.2174208893983995,0.23975240333531048
17,Rolls-Royce,Phantom,Base MT,SUV,Hybrid,0.4442139576233516,CVT,0.004354136429608127,8774873,11603548,Luxury,4,2021,UK,0.6736370408492994,0.1719574790627083
18,Tesla,Model Y,ZX S,Coupe,Petrol,0.2219588087124018,Automatic,0.01451378809869376,11593892,12882980,Luxury,2,2022,USA,0.818834950073606,0.09476285005862169
19,Bentley,Bentayga,Edition Hybrid,MPV,Petrol,0.36953622758927246,CVT,0.024673439767779387,10156665,13506192,Luxury,2,2024,UK,0.7899964264271786,0.13504384282978263
20,Tesla,Model X,Max Turbo,SUV,Diesel,0.4442139576233516,CVT,0.024673439767779387,10591849,14055626,Luxury,2,2018,USA,0.8248789893722078,0.14125874810034117
21,Hyundai,Tucson,Base X,Sedan,Hybrid,0.1773596088309379,CVT,0.024673439767779387,6701742,10056668,Luxury,4,2018,South Korea,0.5453890689767575,0.15776035844072098
22,Toyota,Camry,Premium Hybrid,MPV,Electric,0.0,Automatic,0.625544267053701,532389,1618922,Mid,2,2021,Japan,0.027895939344987172,0.46196650863254857
23,Audi,Q5,Base Plus,MPV,Petrol,0.9999999999999999,Manual,0.0,9346288,12809057,Luxury,5,2025,Germany,0.7365890316503342,0.26585274208741644
24,Hyundai,Alcazar,Edition S,Hatchback,Hybrid,0.26655800859386575,CVT,0.02031930333817126,1464443,1689989,Mid,7,2023,South Korea,0.06343401748694753,0.2945648535153962
25,Rolls-Royce,Phantom,VX S,Sedan,Diesel,0.26655800859386575,CVT,0.01451378809869376,11394807,13564037,Luxury,4,2018,UK,0.8359100173867585,0.09941392320662634
26,Kia,Sonet,VX AT,SUV,Diesel,0.29604385834938507,DCT,0.011611030478955007,2768068,4049404,Premium,5,2021,South Korea,0.1932063996393763,0.26497103242766723
27,Tesla,Model S,ZX X,SUV,Hybrid,0.14787375907541858,CVT,0.013062409288824383,11366761,13902789,Luxury,6,2024,USA,0.8469175569629173,0.07241720582544293
28,Mercedes-Benz,C-Class,LX Turbo,SUV,Hybrid,0.5920877166987701,Automatic,0.02322206095791001,3929354,5424727,Premium,5,2017,Germany,0.28307213752902266,0.3057772302927669
29,Ferrari,296 GTB,Premium S,Hatchback,Diesel,0.9999999999999999,Automatic,0.005805515239477503,2498824,6537164,Premium,5,2025,Italy,0.2718028949447177,0.38408120659763767
30,Mercedes-Benz,GLA,VX AT,SUV,Hybrid,0.26655800859386575,CVT,0.004354136429608127,7059600,7778558,Luxury,2,2021,Germany,0.4773593241820063,0.18549571842363444
31,Audi,A8,Edition Hybrid,Sedan,Petrol,0.29604385834938507,Manual,0.005805515239477503,1839099,2506068,Mid,6,2021,Germany,0.10561879228118191,0.2848360039333987
32,Ferrari,Purosangue,Signature MT,MPV,Electric,0.0,Automatic,0.8287373004354136,3965815,4643386,Premium,6,2022,Italy,0.256682894709479,0.475887331475025
33,Tesla,Model S,Base Hybrid,SUV,Electric,0.0,Automatic,0.7242380261248186,5626764,7042937,Luxury,2,2019,USA,0.4005362945440255,0.4033492355076801
34,Audi,Q7,Base EV,SUV,Diesel,0.29604385834938507,CVT,0.004354136429608127,5862423,9874582,Luxury,4,2020,Germany,0.5092032342623123,0.1834319108546618
35,Tata,Tiago,Premium EV,Hatchback,Hybrid,0.1773596088309379,Manual,0.021770682148040635,1356653,1975046,Mid,4,2020,India,0.0697141457047706,0.27566312409180915
36,Mercedes-Benz,GLE,Signature Plus,Hatchback,Petrol,0.9999999999999999,DCT,0.011611030478955007,9481590,11379088,Luxury,5,2022,Germany,0.6907222050024847,0.28138330941701306
37,Ferrari,Purosangue,Luxury X,MPV,Diesel,0.36953622758927246,CVT,0.021770682148040635,11577951,12902309,Luxury,5,2020,Italy,0.8189549784737141,0.1267882396512402
38,Lamborghini,Urus,LX Plus,MPV,CNG,0.5920877166987701,Manual,0.0029027576197387505,3542368,6986004,Premium,2,2020,Italy,0.3246743423671237,0.28826492291488165
39,Toyota,Urban Cruiser,Signature MT,Hatchback,Hybrid,0.1773596088309379,Manual,0.011611030478955007,2411197,3942785,Premium,5,2016,Japan,0.1767861035454682,0.24533925654745478
